model_id,prompt_uid,trajectory_type,is_correct,layer_index,correct_key,competitor_key,competitor_bucket,competitor_match_bucket_vs_tracing,delta,delta_bucket,drift,drift_bucket,s_attn,s_mlp,delta_step,drift_vs_delta_residual,decomp_residual
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,0,A,D,B,False,0.0068359375,0.045166015625,0.0126953125,-0.0030517578125,1.841552734375,-1.0068359375,0.0126953125,0.0,-0.822021484375
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,1,A,B,B,True,0.01953125,0.0421142578125,-1.404296875,-0.02996826171875,-0.0595703125,-0.5927734375,-1.404296875,0.0,-0.751953125
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,2,A,B,B,True,-1.384765625,0.01214599609375,-0.26611328125,-0.095001220703125,-0.064453125,-1.33984375,-0.26611328125,0.0,1.13818359375
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,3,A,B,B,True,-1.65087890625,-0.082855224609375,-0.743896484375,0.180511474609375,-0.56884765625,0.302734375,-0.743896484375,0.0,-0.477783203125
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,4,A,B,B,True,-2.394775390625,0.09765625,1.367919921875,0.12762451171875,0.4365234375,-1.180419921875,1.367919921875,0.0,2.11181640625
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,5,A,B,B,True,-1.02685546875,0.22528076171875,1.3203248977661133,0.19036865234375,0.677001953125,0.69091796875,1.3203248977661133,0.0,-0.04759502410888672
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,6,A,B,B,True,0.2934694290161133,0.4156494140625,-0.8891725540161133,0.0201416015625,1.263671875,0.05665302276611328,-0.8891725540161133,0.0,-2.2094974517822266
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,7,A,C,B,False,-0.595703125,0.435791015625,-0.81219482421875,-0.15179443359375,0.348876953125,-1.723388671875,-0.81219482421875,0.0,0.56231689453125
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,8,A,C,B,False,-1.40789794921875,0.28399658203125,2.85418701171875,0.17938232421875,0.515625,-1.32781982421875,2.85418701171875,0.0,3.6663818359375
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,9,A,B,D,False,1.4462890625,0.46337890625,-1.4873046875,-0.1976318359375,1.22052001953125,0.2802734375,-1.4873046875,0.0,-2.98809814453125
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,10,A,C,B,False,-0.041015625,0.2657470703125,-0.064453125,0.08815383911132812,0.1923828125,-1.9052734375,-0.064453125,0.0,1.6484375
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,11,A,B,D,False,-0.10546875,0.3539009094238281,-0.91015625,0.16807174682617188,-0.2890625,0.212890625,-0.91015625,0.0,-0.833984375
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,12,A,D,B,False,-1.015625,0.52197265625,-1.595703125,-0.271240234375,0.279296875,-2.0458984375,-1.595703125,0.0,0.1708984375
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,13,A,C,D,False,-2.611328125,0.250732421875,0.455078125,0.3062744140625,0.06640625,-2.517578125,0.455078125,0.0,2.90625
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,14,A,C,D,False,-2.15625,0.5570068359375,0.265625,-0.091552734375,-0.150390625,0.60546875,0.265625,0.0,-0.189453125
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,15,A,C,D,False,-1.890625,0.4654541015625,0.052734375,-0.09226131439208984,1.00390625,-0.73828125,0.052734375,0.0,-0.212890625
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,16,A,D,D,True,-1.837890625,0.37319278717041016,0.029296875,-0.2068624496459961,-0.408203125,-0.8203125,0.029296875,0.0,1.2578125
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,17,A,D,D,True,-1.80859375,0.16633033752441406,0.84765625,0.18132591247558594,0.541015625,-0.51171875,0.84765625,0.0,0.818359375
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,18,A,D,D,True,-0.9609375,0.34765625,-1.09765625,-0.2841796875,-0.703125,1.55078125,-1.09765625,0.0,-1.9453125
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,19,A,D,D,True,-2.05859375,0.0634765625,-0.10546875,0.90771484375,0.7421875,-1.83984375,-0.10546875,0.0,0.9921875
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,20,A,D,B,False,-2.1640625,0.97119140625,4.078125,1.40008544921875,0.28515625,-0.390625,4.078125,0.0,4.18359375
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,21,A,D,D,True,1.9140625,2.37127685546875,0.30078125,0.50274658203125,1.98046875,2.09765625,0.30078125,0.0,-3.77734375
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,22,A,D,D,True,2.21484375,2.8740234375,2.8515625,1.52301025390625,1.7421875,-1.44140625,2.8515625,0.0,2.55078125
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,23,A,D,D,True,5.06640625,4.39703369140625,-0.68359375,1.70257568359375,3.20703125,-0.35546875,-0.68359375,0.0,-3.53515625
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,24,A,D,D,True,4.3828125,6.099609375,-1.84375,-1.447265625,-2.78515625,2.1015625,-1.84375,0.0,-1.16015625
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,25,A,D,D,True,2.5390625,4.65234375,1.9453125,0.46875,-1.4375,-0.40625,1.9453125,0.0,3.7890625
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,26,A,D,D,True,4.484375,5.12109375,-1.0999755859375,-0.30078125,0.1640625,1.78125,-1.0999755859375,0.0,-3.0452880859375
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10128,stable_correct,True,27,A,D,D,True,3.3843994140625,4.8203125,0.0,0.0,-0.296875,-0.384765625,,,0.681640625
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10859,stable_correct,True,0,A,D,B,False,-0.05078125,0.03558349609375,0.208984375,0.00286865234375,1.546630859375,-0.76953125,0.208984375,0.0,-0.568115234375
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10859,stable_correct,True,1,A,B,B,True,0.158203125,0.0384521484375,-1.265625,-0.02471923828125,0.1279296875,-0.732421875,-1.265625,0.0,-0.6611328125
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10859,stable_correct,True,2,A,B,B,True,-1.107421875,0.01373291015625,-0.10595703125,-0.0758819580078125,0.087890625,-1.353515625,-0.10595703125,0.0,1.15966796875
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10859,stable_correct,True,3,A,D,B,False,-1.21337890625,-0.0621490478515625,-0.8642578125,0.1827850341796875,-0.8291015625,-0.61669921875,-0.8642578125,0.0,0.58154296875
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10859,stable_correct,True,4,A,B,B,True,-2.07763671875,0.120635986328125,1.06884765625,0.099945068359375,0.20166015625,-1.07373046875,1.06884765625,0.0,1.94091796875
